Adios Amigos #2,Gin Bdy WRum RV Lmn Sal
Altered Thymeline,Rum TS Lme Thyme
Amangocano*,Cpr Mngo Sda
Americano,RV Sda Cpr
Apple Daiquiri,WRum Apl Lme
Army Martini,Gin RV Gren
Artillery,Gin RV Ang
Bacardi Cocktail,WRum Lme Gren
Bacardi Special,WRum Gin Lme Gren
Bee's Knees,Gin Lmn Hny
Between the Sheets,WRum Bdy TS Lmn
Billionaire,Wh Lmn Gren Abs Pey Ang Mnt
Black Rose,Wh Bdy Gren Pey Ang
Black Russian,Vod CofLiq
Boulevard,Wh WV TS
Boulevardier,Wh RV Cpr
Bourbon Mojito,Wh Mnt Lme Sda
Bramble,Gin Lmn BkbryLiq
Brandy Crusta,Bdy Mar Crc Lmn Ang
Brandy Espresso Martini,Bdy Esp CofLiq
Brunswick,Wh Lmn RW
Campari Mojito,Cpr Lme Mnt
Campari Orange,Cpr Ora
Carlton,Wh TS Ora
Champagne cocktail,Bdy Ang Chm
Churchill,Wh TS RV Lme
Clover Club,Gin Lmn EggW RaspSyr
Corpse Reviver #2,Gin TS LB Lmn Abs
Cosmopolitan,Vod Lme Crn TS
Cuba Libre,WRum Cola Lme
Cuban Mule,Rum Lme GgB
Daiquiri,WRum Lme
Dark n Stormy,DRum GgB
Dry Daiquiri,DRum Lme Cpr Pas
Dry White Daiquiri,WRum Lme Cpr Pas
Elixirita,RTeq Lme Agv Bdy
Enzoni,Gin Cmp Lmn Grapes
Espresso Martini,Vod CofLiq Esp
French 75,Gin Lmn Chm
French Martini,Vod RsbryLiq Pineap
French Mule,Bdy Lme GgA
French Negroni,Bdy Cpr RV
G&T,Gin Ton
Gauguin,WRum Lme Lmn Pas
Gimlet,Gin Lme
Gin & it,Gin RV
Gin Fizz,Gin Lmn Sda
Gin Mojito,Gin Mnt Lme Sda
Gin Rickey,Gin Lme Sda
Gin Sling,Gin Lmn Sda RV Ang
Gold Rush,Wh Lmn Hny
Grand Slam No.2,WRum TS Lmn Lme Gren
Greta Garbo,WRum Mar Lme Ani
Grog,DRum Lme Ang
Harvard,Bdy Ang RV Sda
Hemingway Special,Rum Gpf Mar Lme
Horse's Neck,Bdy GgA Ang
Hot Toddy,Wh Ang
Hurricane,Rum Lmn Pas
Improv GLA*,Gin Lme Ang
Income Tax,Gin RV WV Ora Ang
Islander,RV Wh Ani
James Joyce,Wh RV TS Lme
Jasmine,Gin Cpr TS Lmn
John Collins,Gin Lmn Sda
John Collins (w),Wh Lmn Sda
Journalist,Gin WV RV Crc Lmn Ang
Jungle Bird,DRum Cpr Lme Pineap
Lemon Drop Martini,Vod TS Lmn
Long Island Ice Tea,Vod Teq WRum Gin TS Lmn Cola
Man O' War,Wh TS RV Lmn
Mangoni*,Gin Mngo Cpr
Manhattan,Wh RV Ang
Margarita,Teq TS Lme
Martinez (dfrd),Gin RV WV Crc Ang
Martinez (IBA),Gin RV Ang Mar
Martini,Gin WV
Mary Pickford,WRum Pna Mar Gren
Mexican Firing Squad,Teq Lme Gren Ang
Milano Torino,RV Cmp
Mojito,WRum Lme Mnt Sda
Monkey Gland,Gin Ora Abs Gren
Montreal,Wh RV Ani Peych
Moscow Mule,Vod GgB Lme
Mr President,WRum RV Cpr
Negroni,Gin RV Cpr
Negroni Sbagliato,Cpr RV Chm
New York Sour,Wh Lmn EggW RW
Nicky Finn,Bdy TS Lmn Ani
Novara,Gin Cpr Pas Lmn Sal
Old Cuban,DRum Lme Mnt Ang Chm
Old Fashioned,Wh Ang
Old pal,Wh WV Cpr
Old White Cuban*,WRum Lme Mnt Ang Chm
Painkiller,Rum Pine Ora CocoCrm
Paloma,Teq Lme Gpf
Pedro Collins,WRum Lme Sda
Penicillin,Wh Lmn Hny Ginger
Perfect Manhattan,Wh RV WV Ang
Pink Frozen Margarita,BTeq TS Cmp Lme Agv
Pink Gin,Gin Ang
Planter's Punch,DRum Lme Ang
Ranch Water,BTeq Lme TS Agv Sal Sda
Red Angel Martini,RW GM Mar
Red Manhattan,Wh RV RW Mar Ang
Rickey,Wh Lme Sda
Sazerac,Bdy Abs Pey
Screwdriver,Vod Ora
Sea Breeze,Vod Crc Gpf
Sidecar,Bdy TS Lmn
Southside,Gin Lmn Mnt
Spicy Fifty,VanVod Eld Lme Hny Chili
Stanley,WRum Gin Lmn Gren
Suffering Bastard,Gin Bdy Ang Lme GgA Mnt
Tequila Sunrise,Teq Ora Gren
Tommy's Margarita,RTeq Lme Agv
Trinidad Sour,Ango Wh Lmn Org
Tuxedo,Gin WV Mar Abs Ang
Twelve Mile Limit,WRum Bdy Wh Lmn Gren
Vesper,Gin Vod LB
Vodka Martini,Vod WV
Whiskey & orange,Wh Ora Ang
Whiskey Smash,Wh Lmn Mnt
Whiskey Sour,Wh Lmn
Whiskey tonic,Wh Ton
White Lady,Gin TS Lmn EggW
White Russian,Vod CofLiq Crm
