Abs,Absinthe
Agv,Agave Syrup
Ang,Angostura
Ango,Angostura
Ani,Aniseed Liqueur
Apl,Apple Juice
BTeq,Tequila Blanco
Bdy,Brandy
BkbryLiq,Blackberry Liqueur
Chili,Chili
Chm,Champagne
Cinn,
Clove,
Cmp,Campari
CocoCrm,Coconut Cream
CofLiq,Coffee Liqueur
Cola,Cola
Cpr,Campari
Crm,Cream
Crn,Cranberry Juice
Crc,Triple Sec
DRum,Dark Rum
EggW,Egg White
Eld,Elderflower Liqueur
Esp,Espresso
GM,Triple Sec
GMTS,Triple Sec
GgA,Ginger Ale
GgB,Ginger Ale
Gin,Gin
Ginger,Ginger
Gpf,Grapefruit Juice
Grapes,Grapes
Gren,Grenadine
Hny,Honey
LB,Lillet Blanc
Lme,Lime juice
Lmn,Lemon juice
Mar,Maraschino
Mngo,Mango Juice
Mnt,Mint
OCr�,Triple Sec
Ora,Orange Juice
Org,Orgeat
Pas,Passion Fruit Syrup
Pey,Peychaud's
Peych,Peychaud's
Pine,Pineapple Juice
Pineap,Pineapple Juice
Pna,Pineapple Juice
RTeq,Tequila reposado
RV,Red Vermouth
RW,Red Wine
RaspSyr,Raspberry Syrup
RsbryLiq,Raspberry Liqueur
Rum,White Rum
Sal,Saline
Sda,Soda water
TS,Triple Sec
Teq,Tequila Blanco
Thyme,Thyme
Ton,Tonic
VanVod,Vanilla Vodka
Vod,Vodka
WRum,White Rum
WV,White Vermouth
Wh,Whisky
WhIr,Whisky
Whblpt,Whisky
Whpeat,Whisky
